log_id,user_id,role,store_id_accessed,query_type,execution_time_ms,rows_returned,queries_in_last_60s,hour_of_day,day_of_week,is_anomaly,anomaly_type
1,7,billing_staff,1,SELECT_PAYMENT,38,7,2,4.0,1.0,True,temporal
2,10,support_staff,1,UPDATE_CUSTOMER,16,1,7,8.0,1.0,False,
3,10,support_staff,1,SELECT_CUSTOMER,24,7,9,8.0,1.0,False,
4,10,support_staff,1,UPDATE_CUSTOMER,15,1,1,8.0,1.0,False,
5,6,billing_staff,1,INSERT_PAYMENT,19,1,5,8.0,1.0,False,
6,11,admin,1,UPDATE_STAFF,22,1,1,8.0,1.0,False,
7,13,analyst,2,SELECT_FILM_DETAILS,28,35,6,8.0,1.0,False,
8,4,auditor,1,SELECT_STAFF_ACTIVITY,155,36,10,9.0,1.0,False,
9,11,admin,1,UPDATE_STAFF,22,1,13,9.0,1.0,False,
10,2,analyst,1,SELECT_CUSTOMER_HISTORY,75,41,5,9.0,1.0,False,
11,7,billing_staff,1,INSERT_PAYMENT,17,1,14,9.0,1.0,False,
12,8,support_staff,1,SELECT_CUSTOMER,34,10,11,9.0,1.0,False,
13,4,auditor,1,SELECT_ALL_PAYMENTS,300,132,4,9.0,1.0,False,
14,21,support_staff,2,UPDATE_CUSTOMER,15,1,9,10.0,1.0,False,
15,3,analyst,1,SELECT_FILM_DETAILS,32,40,7,10.0,1.0,False,
16,21,support_staff,2,UPDATE_CUSTOMER,17,1,4,10.0,1.0,False,
17,12,manager,2,SELECT_REVENUE_REPORT,162,453,2,10.0,1.0,False,
18,10,support_staff,1,SELECT_RENTAL_STATUS,37,3,11,10.0,1.0,False,
19,20,support_staff,2,UPDATE_CUSTOMER,12,1,13,11.0,1.0,False,
20,17,billing_staff,2,INSERT_PAYMENT,18,1,11,11.0,1.0,False,
21,16,billing_staff,2,INSERT_PAYMENT,22,1,10,11.0,1.0,False,
22,9,support_staff,1,UPDATE_CUSTOMER,14,1,2,11.0,1.0,False,
23,8,support_staff,1,SELECT_RENTAL_STATUS,36,16,12,11.0,1.0,False,
24,18,billing_staff,2,SELECT_PAYMENT,40,8,10,11.0,1.0,False,
25,7,billing_staff,1,SELECT_CUSTOMER,20,2,14,11.0,1.0,False,
26,6,billing_staff,1,SELECT_CUSTOMER,25,9,13,11.0,1.0,False,
27,8,support_staff,1,UPDATE_CUSTOMER,16,1,11,12.0,1.0,False,
28,2,analyst,1,SELECT_RENTAL_SUMMARY,46,45,11,12.0,1.0,False,
29,8,support_staff,1,UPDATE_CUSTOMER,17,1,6,12.0,1.0,False,
30,15,auditor,2,SELECT_ALL_PAYMENTS,351,475,10,12.0,1.0,False,
31,8,support_staff,1,SELECT_CUSTOMER,24,6,3,12.0,1.0,False,
32,12,manager,2,SELECT_STORE_SUMMARY,56,1,7,12.0,1.0,False,
33,4,auditor,1,SELECT_RENTAL_AUDIT,178,154,9,12.0,1.0,False,
34,22,admin,2,SELECT_SYSTEM_LOGS,380,115,11,12.0,1.0,False,
35,8,support_staff,1,SELECT_CUSTOMER,24,2,14,13.0,1.0,False,
36,6,billing_staff,1,SELECT_PAYMENT,45,27,7,13.0,1.0,False,
37,4,auditor,1,SELECT_RENTAL_AUDIT,158,204,14,13.0,1.0,False,
38,12,manager,2,SELECT_STORE_SUMMARY,57,2,4,13.0,1.0,False,
39,12,manager,2,SELECT_REVENUE_REPORT,231,266,2,13.0,1.0,False,
40,22,admin,2,SELECT_ALL_TABLES,563,519,1,13.0,1.0,False,
41,19,support_staff,2,SELECT_CUSTOMER,32,1,3,13.0,1.0,False,
42,4,auditor,1,SELECT_STAFF_ACTIVITY,157,82,2,14.0,1.0,False,
43,20,support_staff,2,SELECT_CUSTOMER,31,9,14,14.0,1.0,False,
44,1,manager,2,SELECT_INVENTORY,83,28,10,14.0,1.0,True,security
45,5,billing_staff,1,SELECT_CUSTOMER,25,7,3,14.0,1.0,False,
46,6,billing_staff,2,INSERT_PAYMENT,23,1,3,14.0,1.0,True,security
47,12,manager,2,SELECT_REVENUE_REPORT,230,397,6,14.0,1.0,False,
48,12,manager,2,SELECT_STORE_SUMMARY,53,5,10,14.0,1.0,False,
49,12,manager,2,SELECT_REVENUE_REPORT,183,152,3,14.0,1.0,False,
50,6,billing_staff,1,INSERT_PAYMENT,17,1,11,14.0,1.0,False,
51,20,support_staff,2,SELECT_CUSTOMER,33,3,2,14.0,1.0,False,
52,10,support_staff,1,SELECT_RENTAL_STATUS,32,6,1,14.0,1.0,False,
53,18,billing_staff,2,INSERT_PAYMENT,70,4,13,15.0,1.0,True,performance
54,2,analyst,1,SELECT_FILM_DETAILS,26,40,10,15.0,1.0,False,
55,12,manager,2,SELECT_STORE_SUMMARY,63,3,6,15.0,1.0,False,
56,12,manager,2,SELECT_INVENTORY,75,178,12,15.0,1.0,False,
